input,head,n_folds,dim,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,best_param_modal,best_param_freq,best_param_ndistinct
img_rgb_vpe_vit,random_forest,30,768,0.5875661375661375,0.21559890084369573,0.6687499999999998,0.22659542385297876,0.6071428571428571,0.17446005977305204,0.5961111111111111,0.21817263250333552,0.6166666666666666,0.2685636549900399,0.5972222222222221,0.2316889236531398,"{""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",11/30,5
vid_effort_r3d,logistic_regression,30,512,0.5868253968253967,0.2658353607463063,0.6868055555555556,0.24894914036634938,0.6523809523809524,0.1711983607512156,0.6733333333333333,0.30558655363489423,0.5694444444444444,0.2985303508361761,0.7277777777777779,0.23966504936600944,"{""C"": 0.1, ""penalty"": ""l1""}",21/30,5
img_raw_vit,mlp_fixed,30,768,0.5865079365079366,0.13865763843208576,0.6076388888888891,0.17022805349870093,0.5714285714285714,0.1433949237316497,0.5916666666666667,0.19117252644117141,0.6250000000000001,0.18537267009978406,0.5277777777777778,0.2370530007395865,"{""dropout"": 0.3, ""weight_decay"": 0.001}",14/30,4
img_acceleration_vit,logistic_regression,30,768,0.5861375661375662,0.18615208261882496,0.6923611111111113,0.16762327243650985,0.6351190476190477,0.1271959931216291,0.6622222222222223,0.22480018089010692,0.5722222222222222,0.24343224778007383,0.7027777777777778,0.21181949109360068,"{""C"": 0.01, ""penalty"": ""l2""}",19/30,5
img_acceleration_vit,random_forest,30,768,0.5854761904761906,0.1609169493943776,0.5777777777777778,0.1954288845448177,0.6029761904761906,0.13467022344529447,0.6266666666666667,0.2075490986549699,0.5916666666666667,0.2068626249322717,0.6138888888888889,0.2289859092074905,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 200}",8/30,6
img_acceleration_effnet,mlp_small,30,1280,0.5847619047619048,0.20264360431518455,0.6166666666666666,0.19254857077444043,0.6005952380952381,0.1625499526246858,0.6022222222222222,0.20500132385953876,0.6166666666666667,0.27298548092698055,0.5888888888888888,0.22094942007717364,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,4
img_rgb_vpa_swin,logistic_regression,30,768,0.5846296296296296,0.22861442186476197,0.65,0.18900259987264909,0.6446428571428574,0.14675636145333948,0.6361111111111112,0.2555919930711729,0.5666666666666667,0.24701280466910633,0.7249999999999999,0.20663097578353715,"{""C"": 0.01, ""penalty"": ""l2""}",22/30,4
img_acceleration_effnet,svm_linear,30,1280,0.5842328042328042,0.24822859915610618,0.7083333333333334,0.20027519381267614,0.6095238095238095,0.18674244884419935,0.6016666666666667,0.2530408929137542,0.6194444444444444,0.31079194767269386,0.6,0.2257384646136548,"{""C"": 0.01}",16/30,3
img_rgb_vpe_effnet,logistic_regression,30,1280,0.5834920634920635,0.2615634770292227,0.6777777777777778,0.21067174232451902,0.6172619047619049,0.20097642396188103,0.6194444444444447,0.28824622740245825,0.5944444444444446,0.3022372939672125,0.6333333333333333,0.262247871984032,"{""C"": 1.0, ""penalty"": ""l1""}",26/30,4
img_rgb_vpe_effnet,random_forest,30,1280,0.5832010582010583,0.20861655711956367,0.6819444444444446,0.16330420414268854,0.6154761904761905,0.15019144870586945,0.6305555555555556,0.2337059149049465,0.5861111111111111,0.25846153042094117,0.6416666666666667,0.2089359101719639,"{""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",7/30,6
vid_raw_r2plus1d,mlp_fixed,30,512,0.5829894179894182,0.23971141705694252,0.6152777777777777,0.20687227135093597,0.5964285714285716,0.18691116782763695,0.5855555555555555,0.2565141110042813,0.6277777777777778,0.2982494691517448,0.5666666666666667,0.27974399900774083,"{""dropout"": 0.5, ""weight_decay"": 0.001}",13/30,3
img_effort_effnet,random_forest,30,1280,0.5825661375661376,0.2473885538442605,0.692361111111111,0.2006994573741886,0.6351190476190477,0.1720281063207331,0.6338888888888888,0.25840222786682576,0.5749999999999998,0.2839496339776041,0.6916666666666667,0.2043000385392192,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 100}",8/30,7
img_velocity_swin,svm_linear,30,768,0.5812169312169313,0.18624652204986444,0.6440972222222222,0.13606672369325126,0.6214285714285717,0.12569301208268507,0.6272222222222222,0.20263982606092648,0.5805555555555556,0.23619279632757015,0.6666666666666666,0.21884405476620428,"{""C"": 0.003}",22/30,3
img_velocity_swin,random_forest,30,768,0.5810846560846561,0.20096584832460404,0.6388888888888888,0.18467162185420666,0.6172619047619048,0.13940434298159424,0.6305555555555554,0.22296690360268975,0.5972222222222222,0.2707688546883133,0.6472222222222223,0.21068595018198735,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",11/30,6
img_effort_swin,svm_linear,30,768,0.5800793650793652,0.18866076914220709,0.6305555555555556,0.17126673832862788,0.5898809523809524,0.13514296172281304,0.573888888888889,0.17412525401803572,0.625,0.2695870973639764,0.5638888888888888,0.19657426883319506,"{""C"": 0.003}",24/30,3
